exalted;exalted;;0
existentialism;existentialism;;0
expressive;expressive;;0
eye dialect;eye-dialect;x;0
familiar;familiar;;0
fandom slang;fandom-slang;;0
fantasy;fantasy;;0
fashion;fashion;;0
feminism;feminism;;0
fencing;fencing;;0
fengshui;fengshui;;0
fiction;fiction;;0
figurative;figurative;;0
figuratively;figuratively;;0
film;film;;0
finance;finance;;0
financial;financial;;0
firearms;firearms;;0
firefighting;firefighting;;0
fluid dynamics;fluid-dynamics;;0
fluid mechanics;fluid-mechanics;;0
folklore;folklore;;0
food;food;;0
foreignism;foreignism;;0
forestry;forestry;;0
formal;formal;;0
formal or dialectal;formal dialectal;;0
formal or literary;formal literary;;0
fossil word;fossil-word;;0
Fujian;Fujian;Cx;0
fungus;fungus;;0
Fuqing Eastern Min;Fuqing-Eastern-Min;x;0
Fuzhou Eastern Min;Fuzhou-Eastern-Min;x;0
fuzzy logic;fuzzy-logic;;0
gambling;gambling;;0
games;games;;0
gaming;gaming;;0
Gan;Gan;x;0
gastroenterology;gastroenterology;;0
gay sex;gay-sex;;0
gay slang;gay-slang;;0
genetics;genetics;;0
geography;geography;;0
geology;geology;;0
geometry;geometry;;0
geophysics;geophysics;;0
geopolitics;geopolitics;;0
go;go;;0
golf;golf;;0
government;government;;0
grammar;grammar;;0
graph theory;graph-theory;;0
graphical user interface;graphical-user-interface;;0
Greek mythology;Greek-mythology;;0
group theory;group-theory;;0
Guangdong;Guangdong;Cx;0
Guangxi;Guangxi;Cx;0
Guangxi Mandarin;Guangxi-Mandarin;Cx;0
Guangxi Yue;Guangxi-Yue;x;0
Guilin Mandarin;Guilin-Mandarin;Cx;0
Guiyang Mandarin;Guiyang-Mandarin;Cx;0
Guizhou;Guizhou;Cx;0
gymnastics;gymnastics;;0
gynaecology;gynaecology;;0
Haifeng Min;Haifeng-Min;x;0
Hailu Hakka;Hailu-Hakka;x;0
Hailufeng Min;Hailufeng-Min;x;0
Hainan;Hainan;Cx;0
Hainanese;Hainanese;x;0
Hakka;Hakka;x;0
Han dynasty;Han-dynasty;x;0
Handan Jin;Handan-Jin;x;0
Hangzhounese;Hangzhounese;x;0
Harbin Mandarin;Harbin-Mandarin;Cx;0
healthcare;healthcare;;0
hematology;hematology;;0
Hengyang Xiang;Hengyang-Xiang;x;0
hepatology;hepatology;;0
highly offensive;highly-offensive;;0
Hinduism;Hinduism;;0
histology;histology;;0
historical;historical;x;0
historical and archaic;historical archaic;x;0
historical astronomy;historical-astronomy;x;0
historical ethnography;historical-ethnography;;0
historical geometry;historical-geometry;;0
historical or literary;historical literary;;0
historical politics;historical-politics;;0
historiography;historiography;;0
history;history;;0
HK politics;HK-politics;;0
Hokkien;Hokkien;x;0
Hong Kong;HongKong;Cx;0
Hong Kong law;HongKong-law;Cx;0
honorific;honorific;;0
honorific or endearing;honorific endearing;;0
horse racing;horse-racing;;0
horticulture;horticulture;;0
Hui;Hui;x;0
Huizhou;Huizhou;Cx;0
humble;humble;;0
humorous;humorous;;0
humorous or derogatory;humorous derogatory;;0
humorous or offensive;humorous offensive;;0
humorous or sarcastic;humorous sarcastic;;0
humurous;humurous;;0
hyperbolic;hyperbolic;;0
I Ching;I-Ching;x;0
ichthyology;ichthyology;;0
ideophonic;ideophonic;;0
idiomatic;idiomatic;;0
idol fandom;idol-fandom;;0
immunology;immunology;;0
imperial;imperial;;0
impersonal;impersonal;;0
in ancient China;in-ancient-China;x;0
in compounds;;&;0
in compounds or dialectal;dialectal;&;0
in contexts related to Korea;in-contexts-related-to-Korea;;0
in martial arts;martial-arts;;0
in modern uses;in-modern-uses;;0
in place names;in-place-names;;0
in the negative;in-the-negative;;0
including Gan;Gan;x;0
including Hakka;Hakka;x;0
including Liuzhou Mandarin;Liuzhou-Mandarin;x;0
including Northeastern Mandarin;Northeastern-Mandarin;Cx;0
including Rudong Mandarin;Rudong-Mandarin;x;0
including Shanghainese;Shanghainese;x;0
including Southern Min;Southern-Min;x;0
including Tianjin Mandarin;Tianjin-Mandarin;x;0
Indonesia;Indonesia;x;0
Indonesia Hakka;Indonesia-Hakka;x;0
informal;informal;;0
informal or literary;informal literary;;0
information science;information-science;;0
information technology;information-technology;;0
information theory;information-theory;;0
inorganic chemistry;inorganic-chemistry;;0
insurance;insurance;;0
interjection;interjection;;0
international law;international-law;;0
Internet;Internet;;0
Internet gaming;Internet gaming;;0
Internet slang;Internet-slang;;0
interrogative;interrogative;;0
intransitive;intransitive;;0
ironic;ironic;;0
Islam;Islam;;0
Jainism;Jainism;;0
Japan;Japan;x;0
Japanese;Japanese;x;0
Japanese mythology;Japanese-mythology;x;0
Jianghuai and Southwestern Mandarin;Jianghuai-and-Southwestern-Mandarin;Cx;0
Jianghuai Mandarin;Jianghuai-Mandarin;Cx;0
Jiangle Min;Jiangle-Min;x;0
Jiangxi;Jiangxi;Cx;0
Jiangxi Hakka;Jiangxi-Hakka;x;0
Jiangyong Tuhua;Jiangyong-Tuhua;x;0
Jiaoliao and Central Plains Mandarin;Jiaoliao-and-Central-Plains-Mandarin;Cx;0
Jiaoliao Mandarin;Jiaoliao-Mandarin;Cx;0
Jilu;Jilu;x;0
Jilu Mandarin;Jilu-Mandarin;Cx;0
Jin;Jin;x;0
Jinan Mandarin;Jinan-Mandarin;Cx;0
Jinhua Wu;Jinhua-Wu;x;0
Jinjiang and Philippine Hokkien;Jinjiang-and-Philippine-Hokkien;x;0
Jinjiang Hokkien;Jinjiang-Hokkien;x;0
Jixi Huizhou;Jixi-Huizhou;x;0
Judaism;Judaism;;0
Kinmenese Hokkien;Kinmenese-Hokkien;x;0
Korea;Korea;x;0
Korean Classical Chinese;Korean-Classical-Chinese;x;0
Koreanology;Koreanology;;0
Lanyin;Lanyin;x;0
Lanyin and Southwestern Mandarin;Lanyin-and-Southwestern-Mandarin;Cx;0
Lanyin Mandarin;Lanyin-Mandarin;Cx;0
late Qing;late-Qing;x;0
late Qing dynasty;late-Qing-dynasty;x;0
laudatory;laudatory;;0
law;law;;0
law enforcement;law-enforcement;;0
law or generally;law generally;;0
Lechang Tuhua;Lechang-Tuhua;x;0
Leizhou Min;Leizhou-Min;x;0
lexicography;lexicography;;0
LGBTQ;LGBTQ;;0
LGBTQ slang;LGBTQ slang;;0
Liancheng Hakka;Liancheng-Hakka;x;0
library science;library-science;;0
Lichuan Gan;Lichuan-Gan;x;0
likely obsolete;likely-obsolete;x;0
linear algebra;linear-algebra;;0
linguistic morphology;linguistic-morphology;;0
linguistics;linguistics;;0
Linshao Wu;Linshao-Wu;x;0
Lishui Wu;Lishui-Wu;x;0
literal;literal;;0
literal or figurative;literal figurative;;0
literally;literally;;0
literally and figurative;literally figurative;;0
literally and figuratively;literally figuratively;;0
literally or figuratively;literally figuratively;;0
literary;literary;-;0
literary and archaic;literary archaic;-;0
literary and historical;literary historical;-;0
literary or archaic;literary archaic;-;0
literary or dialectal;literary dialectal;;0
literary or dialectal Mandarin;literary dialectal;;0
literary or Eastern Min;literary Eastern-Min;-;0
literary or formal;literary formal;;0
literary or Gan;literary Gan;-;0
literary or Hakka;literary Hakka;-;0
literary or historical;literary historical;-;0
literary or Hokkien;literary Hokkien;-;0
literary or Hong Kong;literary HongKong;-;0
literary or in compounds;literary;-&;0
literary or Malaysia;literary Malaysia;-;0
literary or Min;literary Min;-;0
literary or Northern Min;literary Northern-Min;-;0
literary or Northern Wu;literary Northern-Wu;-;0
literary or poetic;literary poetic;;0
literary or Puxian Min;literary Puxian-Min;-;0
literary or Quanzhou and Xiamen Hokkien;literary Quanzhou-and-Xiamen-Hokkien;-;0
literary or Quanzhou Hokkien;literary Quanzhou-Hokkien;-;0
literary or regional;literary regional;-;0
literary or Southern Min;literary Southern-Min;-;0
literary or Taiwanese Hakka;literary Taiwanese-Hakka;-;0
literary or Taiwanese Hokkien;literary Taiwanese-Hokkien;-;0
literary or Teochew;literary Teochew;-;0
literary or Wenzhounese;literary Wenzhounese;-;0
literary or Wu;literary Wu;-;0
literary or Xiamen;literary Xiamen;-;0
literary or Xiamen and Quanzhou Hokkien;literary Xiamen-and-Quanzhou-Hokkien;-;0
literary or Xiamen and Zhangzhou Hokkien;literary Xiamen-and-Zhangzhou-Hokkien;-;0
literary or Xiamen Hokkien;literary Xiamen-Hokkien;-;0
literary or Xiang;literary Xiang;-;0
literary or Zhangzhou Hokkien;literary Zhangzhou-Hokkien;-;0
literature;literature;;0
Liuzhou Mandarin;Liuzhou-Mandarin;Cx;0
loanword;loanword;;0
local;local;;0
lofty;lofty;;0
logic;logic;;0
Longyan Min;Longyan-Min;x;0
Loudi Xiang;Loudi-Xiang;x;0
low colloquial;low-colloquial;;0
Lukang Hokkien;Lukang-Hokkien;x;0
Luoyang Mandarin;Luoyang-Mandarin;Cx;0
Macau;Macau;Cx;0
Magong Hokkien;Magong-Hokkien;x;0
mahjong;mahjong;;0
Mainland China;;C;1
Mainland China and Philippine Hokkien;Mainland-China-and-Philippine-Hokkien;x;0
Mainland China Hokkien;Mainland-China-Hokkien;x;0
Mainland China Internet slang;Internet-slang;C;0
Mainland China Mandarin;;C;1
Mainland Chinese;;C;1
Malaysia;Malaysia;x;0
Malaysia and Singapore;Malaysia-and-Singapore;x;0
Malaysian;Malaysian;x;0
Malaysian and Singapore Hokkien;Malaysian-and-Singapore-Hokkien;x;0
Malaysian and Singapore Mandarin;Malaysian-and-Singapore-Mandarin;x;0
Malaysian Cantonese;Malaysian-Cantonese;x;0
Malaysian Hokkien;Malaysian-Hokkien;x;0
Malaysian Mandarin;Malaysian-Mandarin;x;0
management;management;;0
Manchukuo;Manchukuo;x;0
Mandarin;;;1
Manichaeism;Manichaeism;x;0
manufacturing;manufacturing;;0
Maoism;Maoism;;0
marketing;marketing;;0
martial arts;martial-arts;;0
Marxism;Marxism;;0
materials science;materials-science;;0
mathematical analysis;mathematical-analysis;;0
mathematics;mathematics;;0
Matsu Eastern Min;Matsu-Eastern-Min;x;0
mechanical engineering;mechanical-engineering;;0
mechanics;mechanics;;0
media;media;;0
medical genetics;medical-genetics;;0
medicine;medicine;;0
medicine or figurative;medicine figurative;;0
Meixian Hakka;Meixian-Hakka;x;0
metallurgy;metallurgy;;0
metalworking;metalworking;;0
meteorology;meteorology;;0
metonymically;metonymically;;0
microbiology;microbiology;;0
mildly rude;mildly-rude;;0
mildly vulgar;mildly-vulgar;;0
military;military;;0
military and figuratively;military figuratively;;0
military or figurative;military figurative;;0
military or figuratively;military figuratively;;0
Min;Min;x;0
minced oath;minced-oath;;0
mineralogy;mineralogy;;0
Ming and Qing dynasties;Ming-and-Qing-dynasties;x;0
Ming dynasty;Ming-dynasty;x;0
mining;mining;;0
mnemonic;mnemonic;;0
mobile telephony;mobile-telephony;;0
modern;modern;;0
modern usage;modern-usage;;0
modest;modest;;0
molecular biology;molecular-biology;;0
Móng Cái Cantonese;Móng-Cái-Cantonese;x;0
more often attributive;more-often-attributive;;0
Mormonism;Mormonism;;0
mostly in compounds;;&;0
Muping Mandarin;Muping-Mandarin;Cx;0
music;music;;0
music production;music-production;;0
Myanmar;Myanmar;x;0
mycology;mycology;;0
mythology;mythology;;0
mythology or religion;mythology religion;;0
Nanchang Gan;Nanchang-Gan;x;0
Nanjing Mandarin;Nanjing-Mandarin;Cx;0
Nanning Pinghua;Nanning-Pinghua;x;0
nanotechnology;nanotechnology;;0
narratology;narratology;;0
nautical;nautical;;0
navy;navy;;0
neologism;neologism;;0
nephrology;nephrology;;0
networking;networking;;0
neuroanatomy;neuroanatomy;;0
neurology;neurology;;0
neuroscience;neuroscience;;0
news;news;;0
nickname;nickname;;0
Ningbonese;Ningbonese;x;0
nonstandard;nonstandard;x;0
Norse mythology;Norse-mythology;x;0
Northeastern;Northeastern;Cx;0
Northeastern Mandarin;Northeastern-Mandarin;x;0
Northern China;Northern-China;Cx;0
northern China;Northern-China;Cx;0
Northern Mandarin;Northern-Mandarin;Cx;0
Northern Min;Northern-Min;x;0
Northern Pinghua;Northern-Pinghua;x;0
Northern Thai Mandarin;Northern-Thai-Mandarin;x;0
Northern Wu;Northern-Wu;x;0
now chiefly Central Plains and Jilu Mandarin;chiefly-Central-Plains-and-Jilu-Mandarin;Cx;0
now chiefly Taiwan;;t;0
now dated;dated;x;0
now derogatory;derogatory;;0
now dialectal;dialectal;x;0
now dialectal or in compounds;dialectal;&;0
now in compounds;;&;0
now in compounds or dialectal;dialectal;&;0
now often derogatory;often-derogatory;;0
now rare;rare;x;0
now slang;slang;;0
now uncommon;uncommon;x;0
nuclear physics;nuclear-physics;;0
number theory;number-theory;;0
numeral;numeral;;0
numerical analysis;numerical-analysis;;0
numismatics;numismatics;;0
nutrition;nutrition;;0
object-oriented programming;object-oriented-programming;;0
obsolete;obsolete;x;0
obsolete in Mainland China;obsolete-in-Mainland-China;x;0
obsolete or dialectal;obsolete dialectal;x;0
obsolete or Eastern Min;obsolete Eastern-Min;x;0
obsolete or historical;obsolete historical;x;0
obsolete or Hokkien;obsolete Hokkien;x;0
obsolete or in compounds;obsolete;&;0
obsolete or Min;obsolete Min;x;0
obsolete or Southern Min;obsolete Southern-Min;x;0
obsolete or Taiwanese Hokkien;obsolete Taiwanese-Hokkien;x;0
obsolete or Teochew;obsolete Teochew;x;0
obstetrics;obstetrics;;0
oceanography;oceanography;;0
offensive;offensive;;0
official;official;;0
officialese;officialese;;0
often as a curse;often-as-a-curse;;0
often attributive;often-attributive;;0
often childish;often-childish;;0
often derogatory;often-derogatory;;0
often endearing;often-endearing;;0
often figurative;often-figurative;;0
often honorific;often-honorific;;0
often humble;often-humble;;0
often humorous;often-humorous;;0
often imperative;often-imperative;;0
often ironic;often-ironic;;0
often offensive;often-offensive;;0
often officialese;often-officialese;;0
